what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1271199670765
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1271199670875
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1271199670984
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1271199671187
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090914-1400,"org.eclipse.php.debug.core",1271199671875
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1271199672062
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271199731984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271199747078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271199750421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271199755421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200389718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200391187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200393250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200394000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200395578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200395859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200396718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200397765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200399843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200401109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200402781
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1271200409281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200409328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200409484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271200410359
